Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
"/, iPhone Samsung",14.99,40.0,343,Unknown,N29,Android Wear,32.0,2025-02-02 17:05:04
"/, iPhone Samsung",19.79,45.0,343,AICase,T12PRo,Unknown,32.0,2025-02-02 17:05:06
Men for Samsung,20.79,41.7,343,Unknown,Smart Bracelet,Android Wear,32.0,2025-02-02 17:05:01
Samsung Galaxy Gear S SM- Curved Super –,23.0,44.0,343,Samsung,Samsung Galaxy Gear,Tizen,32.0,2025-02-02 17:05:02
ECG+PPG Call Laser Health Fitnes,24.9,47.0,343,Unknown,Smart Bracelet,Android Wear,32.0,2025-02-02 17:05:11
/ iPhone Samsung,29.99,22.0,343,IOWODO,Smart Bracelet,Android Wear,64.0,2025-02-02 17:05:01
Verizon Care -,29.99,41.7,343,Verizon,Verizon Care Smart,Unknown,32.0,2025-02-02 17:05:08
"Samsung Galaxy 3 (45mm, , ) - Mystic",33.99,45.0,343,Samsung,Samsung Galaxy Watch Active 3,Unknown,32.0,2025-02-02 17:05:04
(Answer /Make Call)Rugged,35.99,41.7,400,Unknown,Smart Bracelet,Android Wear,32.0,2025-02-02 17:05:11
TOZO S7 1.85” Dynamic Dials 100+,38.99,47.0,343,TOZO,S7,Unknown,32.0,2025-02-02 17:05:05
/ iPhone Samsung,49.99,40.0,180,Unknown,LS02,Android Wear,32.0,2025-02-02 17:05:12
Google Pixel 41mm + + Unlocked -,53.99,41.0,343,Google,Google Pixel Watch,Wear OS,32.0,2025-02-02 17:05:05
Samsung Galaxy Active2 Aluminum 44mm & 40mm R820 & R830,59.95,41.7,343,Samsung,Samsung Galaxy Watch Active 2,Android Wear,32.0,2025-02-02 17:05:12
CMF by Nothing Pro Calling -,69.99,41.7,343,Nothing,Nothing Watch Pro,Android Wear,32.0,2025-02-02 17:05:00
Samsung Galaxy Watch5 Pro () SM- 45mm Titanium Case -,71.99,45.0,343,Samsung,Samsung Galaxy Watch5 Pro,Wear OS,32.0,2025-02-02 17:05:05
Apple Series 3 38mm 42mm + + Space,89.99,40.0,343,Apple,Apple Watch Series 3,Apple Watch OS,32.0,2025-02-02 17:05:07
Samsung Galaxy 6 Classic 47mm + + R960 -,114.99,47.0,343,Samsung,Samsung Galaxy Watch6 Classic,Wear OS,16.0,2025-02-02 17:05:16
"Google Pixel 2 41mm , ,",119.99,41.0,343,Google,Google Pixel Watch 2,Android Wear,32.0,2025-02-02 17:05:14
Samsung Galaxy 6 Classic 47mm Stainless-Steel w/,124.99,47.0,343,Samsung,Samsung Galaxy Watch6 Classic,Android Wear,32.0,2025-02-02 17:05:07
"Fitbit Versa 4 ,",135.73,40.0,343,Fitbit,FB523BKBK,Unknown,32.0,2025-02-02 17:05:07
Citizen CZ Gen 2 41MM Stainless Steel Casual - -83X,149.99,41.0,343,Unknown,013205157714,Wear OS,32.0,2025-02-02 17:05:03
Samsung Galaxy 7 40mm (SM-) ( + /),183.95,40.0,343,Samsung,Samsung Galaxy Watch 7,Wear OS,32.0,2025-02-02 17:05:02
"Huawei GT 5 46mm 1.43""",275.0,46.0,343,Huawei,Huawei Watch GT 5,Unknown,32.0,2025-02-02 17:05:02
