Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
"/, iPhone Samsung",14.99,40,332,Unknown,N29,Android Wear,32,2/2/2025 17:05
Apple Series 4 - 44mm - Nike,17.43,44,332,Apple,Apple Watch Series 4 Nike+,Unknown,32,1/29/2025 22:25
"/, iPhone Samsung",19.79,45,332,AICase,T12PRo,Unknown,32,2/2/2025 17:05
Men for Samsung,20.79,42.25,332,Unknown,Smart Bracelet,Android Wear,32,2/2/2025 17:05
Samsung Galaxy Gear S SM- Curved Super –,23,44,332,Samsung,Samsung Galaxy Gear,Tizen,32,2/2/2025 17:05
ECG+PPG Call Laser Health Fitnes,24.9,47,332,Unknown,Smart Bracelet,Android Wear,32,2/2/2025 17:05
Verizon Care -,29.99,42.25,332,Verizon,Verizon Care Smart,Unknown,32,2/2/2025 17:05
/ iPhone Samsung,29.99,22,332,IOWODO,Smart Bracelet,Android Wear,64,2/2/2025 17:05
Radley London Digital GradeRose - Perfect ideal gift,32.5,42,332,Unknown,Smart Bracelet,Android Wear,5,1/29/2025 22:24
MK16 Bluetoot Sport,32.75,55,332,Unknown,MK16,Android Wear,64,1/29/2025 22:24
"Samsung Galaxy 3 (45mm, , ) - Mystic",33.99,45,332,Samsung,Samsung Galaxy Watch Active 3,Unknown,32,2/2/2025 17:05
(Answer /Make Call)Rugged,35.99,42.25,400,Unknown,Smart Bracelet,Android Wear,32,2/2/2025 17:05
TOZO S7 1.85” Dynamic Dials 100+,38.99,47,332,TOZO,S7,Unknown,32,2/2/2025 17:05
/ iPhone Samsung,49.99,40,180,Unknown,LS02,Android Wear,32,2/2/2025 17:05
Google Pixel 41mm + + Unlocked -,53.99,41,332,Google,Google Pixel Watch,Wear OS,32,2/2/2025 17:05
Samsung Galaxy Active2 Aluminum 44mm & 40mm R820 & R830,59.95,42.25,332,Samsung,Samsung Galaxy Watch Active 2,Android Wear,32,2/2/2025 17:05
CMF by Nothing Pro Calling -,69.99,42.25,332,Nothing,Nothing Watch Pro,Android Wear,32,2/2/2025 17:05
Fitbit Versa 2 w/ Small & Large Bands,69.99,40,332,Fitbit,Fitbit Versa 2,Unknown,32,1/29/2025 22:24
Samsung Galaxy Watch5 Pro () SM- 45mm Titanium Case -,71.99,45,332,Samsung,Samsung Galaxy Watch5 Pro,Wear OS,32,2/2/2025 17:05
Samsung Galaxy Watch5 Pro 45mm -,87.99,45,332,Samsung,Galaxy Watch5 Pro,Wear OS,16,1/29/2025 22:25
Google Pixel 2 41mm MFG 2023-,88,41,332,Google,Google Pixel Watch 2,Wear OS,32,1/29/2025 22:25
Apple Series 3 38mm 42mm + + Space,89.99,40,332,Apple,Apple Watch Series 3,Apple Watch OS,32,2/2/2025 17:05
Samsung Galaxy Gear S SM- Curved Super -,99.95,44,305,Samsung,Samsung Galaxy Gear,Tizen,32,1/29/2025 22:24
Samsung Galaxy 6 Classic 47mm + + R960 -,114.99,47,332,Samsung,Samsung Galaxy Watch6 Classic,Wear OS,16,2/2/2025 17:05
Samsung Galaxy 6 Classic 47mm Stainless-Steel w/,124.99,47,332,Samsung,Samsung Galaxy Watch6 Classic,Android Wear,32,2/2/2025 17:05
"Fitbit Versa 4 ,",135.73,40,332,Fitbit,FB523BKBK,Unknown,32,2/2/2025 17:05
Citizen CZ Gen 2 41MM Stainless Steel Casual - -83X,149.99,41,332,Unknown,13205157714,Wear OS,32,2/2/2025 17:05
Samsung Galaxy 7 40mm (SM-) ( + /),183.95,40,332,Samsung,Samsung Galaxy Watch 7,Wear OS,32,2/2/2025 17:05
"Huawei GT 5 46mm 1.43""",275,46,332,Huawei,Huawei Watch GT 5,Unknown,32,2/2/2025 17:05
