Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
,21.99,38.0,753,AICase,Smart Bracelet,Unknown,32.0,2025-02-05 15:15:04
"Alexa Built-in 1.85"" (Answer/Make Call)",24.99,40.27,753,Unknown,Smart watch,Android Wear,128.0,2025-02-05 15:15:06
NFC for iPhone Samsung,28.99,45.7,260,Unknown,NFC Smart Watch,Android Wear,32.0,2025-02-05 15:15:30
"/, iPhone Samsung",30.0,40.0,753,Unknown,IDW16,Wear OS,64.0,2025-02-05 15:15:31
", Call 2.01"" for iPhone Samsung",32.39,40.27,753,IOWODO,Sports Fitness Tracker,Android Wear,128.0,2025-02-05 15:15:02
for Men Make/Receive Call for Samsung,32.79,22.0,753,IOWODO,R60,Unknown,0.0,2025-02-05 15:15:31
"TOZO 4 1.78"" 5.3",38.99,45.0,753,TOZO,S4,Unknown,32.0,2025-02-05 15:15:29
S8 1.96'' Curved Cal,44.49,40.27,753,Haylou,S8,Unknown,32.0,2025-02-05 15:15:05
Samsung Galaxy Fit3 SM-R390 - 101 Workouts -,49.99,40.27,753,Samsung,Samsung Galaxy Fit3,Unknown,256.0,2025-02-05 15:15:06
"Motorola Moto 100 & , 42mm - Phantom -",52.08,42.0,753,Unknown,Motorola Moto Watch 100,Moto Watch OS,32.0,2025-02-05 15:15:23
Google Pixel 41mm + +,55.99,41.0,753,Google,Google Pixel Watch,Wear OS,32.0,2025-02-05 15:15:32
Fitbit Charge 3 more colo,56.99,40.27,753,Fitbit,Fitbit Charge 3,Unknown,32.0,2025-02-05 15:15:31
Amazfit Active Edge,57.0,46.0,753,Amazfit,amazfit active edge,Unknown,32.0,2025-02-05 15:14:59
"CMF by Nothing 2 Pro 1.32""",79.95,40.27,753,Nothing,CMF by Nothing Watch 2 Pro,Unknown,32.0,2025-02-05 15:15:00
"Xplora X5 Play, 4G , for -",79.95,40.27,753,Unknown,Xplora X5,Android Wear,4.0,2025-02-05 15:15:31
Apple Series 3 38mm 42mm + + -,89.99,40.0,753,Apple,Apple Watch Series 3,Apple Watch OS,32.0,2025-02-05 15:15:03
Samsung Galaxy Gear S SM-R750 Curved Super -Universal strap,99.95,44.0,753,Samsung,Samsung Galaxy Gear,Tizen,32.0,2025-02-05 15:15:29
samsung,100.0,40.0,753,Unknown,Smart Bracelet,Android Wear,32.0,2025-02-05 15:14:58
Apple Series 5 44mm Stainless Steel + Band 32GB - Excellent,119.0,44.0,753,Apple,Apple Watch Series 5,Apple Watch OS,32.0,2025-02-05 15:14:59
"Google Pixel 2 41mm , ,",119.99,41.0,753,Google,Google Pixel Watch 2,Android Wear,32.0,2025-02-05 15:15:28
Samsung Galaxy 7 40mm + + Unlocked L305 - Excellent,172.99,40.0,753,Samsung,Samsung Galaxy Watch 7,Wear OS,32.0,2025-02-05 15:15:07
"Fire-Boltt Dream, 4G SIM, , 2GB RAM+ 16GB ROM",179.0,40.27,753,Unknown,Fire-Boltt Dream,Android Wear,16.0,2025-02-05 15:15:29
Samsung 7 40mm SM- Brand & Sealed Ships Fast!,179.99,40.0,753,Samsung,Watch7,Wear OS,32.0,2025-02-05 15:15:27
"2.88"" 4G 9.0Android/ Dual Camera 4GB+64GB",196.0,40.27,753,Unknown,S999 Global Frequency Bands,Android Wear,64.0,2025-02-05 15:15:07
"Huawei GT 5 46mm 1.43""",265.0,46.0,753,Huawei,Huawei Watch GT 5,Unknown,32.0,2025-02-05 15:15:04
Brand Samsung Galaxy Ultra 47mm SM- Titanium,364.99,47.0,753,Samsung,Samsung Galaxy Watch Ultra,Wear OS,32.0,2025-02-05 15:15:05
