Title,Price,Case Size,Battery Capacity,Brand,Model,Operating System,Storage Capacity,Collection Date
"/, iPhone",13.99,39.0,270,Unknown,Smart Bracelet,Android Wear,32.0,2025-02-08 16:18:36
"/, iPhone Samsung",19.79,45.0,270,AICase,T12PRo,Unknown,32.0,2025-02-08 16:18:41
/ iPhone Samsung,26.69,43.0,180,AICase,HW20,Android Wear,32.0,2025-02-08 16:18:40
Trendy BT Calling Rubber Upto 2-3 days,27.08,45.23,270,Unknown,SMART WATCH,Android Wear,32.0,2025-02-08 16:18:39
Budget-Friendly BT Calling Rubber Upto 2-3 days,28.44,45.23,270,Unknown,NICEBUDS T800,Android Wear,32.0,2025-02-08 16:18:39
- Amazfit Bip 5 Core -,38.0,45.23,270,Amazfit,N\A,Unknown,32.0,2025-02-08 16:18:36
Samsung Galaxy Watch4 Classic 46mm R895 + -,59.99,46.0,270,Samsung,Galaxy Watch4 Classic,Wear OS,16.0,2025-02-08 16:18:40
Samsung Galaxy 4 44mm + + R870 -,62.99,44.0,270,Samsung,Samsung Galaxy Watch4,Wear OS,16.0,2025-02-08 16:18:38
Samsung Galaxy Gear S SM- Curved Super -,99.95,44.0,270,Samsung,Samsung Galaxy Gear,Tizen,32.0,2025-02-08 16:18:42
"Google Pixel 2 41mm , ,",119.99,41.0,270,Google,Google Pixel Watch 2,Android Wear,32.0,2025-02-08 16:18:40
Apple Series 8 (+) 45MM Midnight Aluminum Case Sport Band 1 YEAR WTY,199.99,45.0,270,Apple,Apple Watch Series 8,Apple Watch OS,32.0,2025-02-08 16:18:37
Google Pixel 3 - 45mm ( + ) - Matte,289.98,45.0,270,Google,Google Pixel Watch,Unknown,32.0,2025-02-08 16:18:37
